file,size
0826209667.txt,2.925
0835015638.txt,1.532
0835819980.txt,2.264
0837094033.txt,3.045
0837197800.txt,3.854
0839635440.txt,3.39
0839858862.txt,5.396
0841293339.txt,2.44
0841418825.txt,2.921
0842992948.txt,3.763
0842996314.txt,1.204
0843161829.txt,1.497
0844968241.txt,32.952
0845217169.txt,18.488
0846715553.txt,0.93
0846781264.txt,0.82
0847838200.txt,1.866
0848679780.txt,2.365
0848695896.txt,9.021
0850159177.txt,5.799
0850162662.txt,0.572
0850320678.txt,4.423
0853426848.txt,6.955
0854306192.txt,2.214
0857600338.txt,17.088
0857677215.txt,23.698
0860182002.txt,6.163
0862839883.txt,3.244
0865941506.txt,0.871
0866572566.txt,0.988
0870465098.txt,1.677
0872202064.txt,2.662
0876171248.txt,2.816
0876250531.txt,11.661
0876437553.txt,2.274
0876860264.txt,4.271
0878654527.txt,6.404
0879365369.txt,1.517
0879803996.txt,2.918
0880476729.txt,21.378
0881356379.txt,5.122
0884731847.txt,4.591
0884787012.txt,5.088
0884964368.txt,1.817
0885208555.txt,22.239
0885318160.txt,3.62
0887057295.txt,14.333
0887665729.txt,4.899
0888364876.txt,2.948
0888609364.txt,1.515
0888611422.txt,3.47
0889047457.txt,2.686
0889211121.txt,0.984
0889554019.txt,53.189
0889721031.txt,2.507
0893188400.txt,3.162
0894639050.txt,2.195
0897669409.txt,9.994
0898099393.txt,1.61
0900972000.txt,11.119
0901894140.txt,3.641
0904080701.txt,3.019
0904762907.txt,5.347
0905351939.txt,1.016
0905951700.txt,6.002
0906042912.txt,8.072
0906136579.txt,3.043
0906137836.txt,2.694
0907258644.txt,2.6
0907266508.txt,1.201
0907293443.txt,6.253
0907339897.txt,2.854
0907525054.txt,6.83
0907686380.txt,1.441
0907695513.txt,11.602
0907975032.txt,4.311
0908297214.txt,7.359
0908385907.txt,3.887
0908490150.txt,5.508
0908633388.txt,101.52
0911405082.txt,1.067
0912095517.txt,3.289
0912633188.txt,2.353
0913679881.txt,4.143
0914013281.txt,9.406
0914022359.txt,1.434
0914256033.txt,1.408
0917644194.txt,19.599
0918004907.txt,2.528
0918146589.txt,7.978
0919310505.txt,4.042
0919450520.txt,7.598
0919980501.txt,2.226
0922988761.txt,8.559
0923937760.txt,4.435
0924030302.txt,8.722
0924035588.txt,15.797
0924120405.txt,7.688
0924532891.txt,1.838
0924613924.txt,1.434
0925158373.txt,1.26
0925225547.txt,1.388
0925507395.txt,11.228
0925823304.txt,5.078
0925829267.txt,1.921
0926010576.txt,4.147
0926012905.txt,1.889
0926026654.txt,4.243
0926031061.txt,1.145
0926087421.txt,3.18
0926681134.txt,2.493
0926947295.txt,7.108
0927042520.txt,2.599
0927145311.txt,9.334
0927817076.txt,2.614
0929044085.txt,2.758
0929392417.txt,1.438
0929565152.txt,1.291
0929719270.txt,2.945
0929985154.txt,5.435
0930776203.txt,0.93
0930934311.txt,2.33
0931964410.txt,3.738
0932158667.txt,2.194
0932773964.txt,25.156
0933254004.txt,10.894
0933255789.txt,1.135
0933716462.txt,6.616
0934921858.txt,4.22
0935431006.txt,0.923
0936652724.txt,13.088
0936728245.txt,15.113
0936823492.txt,1.105
0937153268.txt,9.929
0937952556.txt,0.633
0938018124.txt,15.203
0938019494.txt,2.773
0938031546.txt,8.97
0938108054.txt,8.624
0938108842.txt,12.038
0938121656.txt,4.958
0938125745.txt,9.443
0938712073.txt,2.74
0939003588.txt,28.247
0939141116.txt,15.334
0939154709.txt,12.654
0939165392.txt,4.748
0939235897.txt,3.464
0939437868.txt,7.356
0939844657.txt,1.576
0939923089.txt,2.865
0941483736.txt,17.522
0942448792.txt,2.261
0942777075.txt,1.234
0942953601.txt,3.66
0947541692.txt,3.527
0947802707.txt,3.489
0950712852.txt,14.286
0951431850.txt,0.808
0951763817.txt,2.271
0951977522.txt,2.99
0952106664.txt,3.708
0952619617.txt,2.641
0954268691.txt,1.198
0955699514.txt,1.89
0956161482.txt,10.189
0957536665.txt,0.554
0959187643.txt,2.131
0962366892.txt,3.503
0962724639.txt,4.662
0962818260.txt,1.605
0963233839.txt,11.302
0963250650.txt,4.769
0965139790.txt,1.01
0965416206.txt,3.573
0965671134.txt,1.375
0965750123.txt,6.106
0966015630.txt,5.771
0966633586.txt,3.303
0967041809.txt,7.343
0967231160.txt,2.043
0968127296.txt,3.529
0968367517.txt,1.264
0968450529.txt,4.445
0968691929.txt,0.883
0968705882.txt,8.776
0968774000.txt,7.529
0968941827.txt,2.19
0969308584.txt,2.85
0969618170.txt,3.811
0969640598.txt,3.061
0969652057.txt,4.671
0969652335.txt,8.097
0969891412.txt,2.159
0969912361.txt,4.503
0970663670.txt,1.119
0970664328.txt,4.847
0970842624.txt,1.701
0971129284.txt,3.725
0971992541.txt,3.797
0972415204.txt,1.289
0972499087.txt,5.051
0972649870.txt,1.811
0973374325.txt,1.996
0973867989.txt,0.29
0974731263.txt,2.902
0975693499.txt,3.71
0976640129.txt,5.217
0976807838.txt,6.257
0981068343.txt,2.555
0981859677.txt,4.901
0983196231.txt,40.475
0983204299.txt,6.108
0983207072.txt,24.089
0983280741.txt,1.649
0983286849.txt,5.901
0983452785.txt,13.289
0983552403.txt,3.003
0983566497.txt,8.714
0984598451.txt,6.963
0984692311.txt,2.149
0984770757.txt,5.603
0984799044.txt,15.251
0986407807.txt,2.454
0986486371.txt,12.365
0986499438.txt,5.332
0988466058.txt,6.188
0988831541.txt,27.026
0990119702.txt,7.349
0990718382.txt,12.17
0990718506.txt,32.967
0992021888.txt,2.197
0992349996.txt,17.766
0992879415.txt,7.633
0993768960.txt,2.062
0993841811.txt,10.218
0994083845.txt,2.994
0994186877.txt,15.399
0994187098.txt,14.575
0994859893.txt,7.551
0995978954.txt,7.419
