No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
1,2001VB,700,2023-07-23 07:16,0.0000387614501174161,2023
2,1979XB,700,2056-12-12 21:38,0.000164980551048719,2056
3,2008JL3,30,2027-05-01 09:05,0.000149009089554463,2027
4,2000SG344,40,2071-09-16 00:54,0.000895255147717099,2069
5,2005QK76,30,2030-02-26 08:15,0.000030100535789537,2030
6,2021GX9,30,2032-04-16 21:51,0.0000503018108651911,2032
7,2007KE4,30,2029-05-26 00:18,0.000042700371493232,2026
9,2019VB37,40,2049-04-26 01:30,0.0000562018771426966,2041
10,2011DU9,16,2046-02-23 20:44,0.00068212824010914,2046
12,2018JD,16,2067-05-08 13:21,0.00127064803049555,2067
13,2020VV,12,2050-10-11 10:13,0.00201207243460765,2044
14,2022UY14,30,2043-04-28 22:24,0.0000306006915756296,2043
15,2022UE3,40,2093-10-13 23:51,0.000105008925758689,2093
16,2014CR13,25,2108-02-11 19:52,0.000364033491081179,2102
19,2006JY26,8,2074-05-03 00:47,0.00636942675159236,2073
20,2017WT28,8,2104-11-24 16:31,0.00680272108843537,2083
23,2021EU,29,2056-08-29 02:45,0.0000458001282403591,2024
25,2013VW13,20,2080-11-08 16:20,0.000232018561484919,2076
26,2007VE8,29,2062-11-06 02:54,0.00011001100110011,2062
28,2020VW,7,2074-11-02 20:35,0.0037593984962406,2074
30,2010CR5,400,2062-01-01 02:04,0.0642936367564811,2051
31,2022NX1,8,2075-12-04 19:06,0.0037593984962406,2075
32,2020KD3,18,2083-05-26 21:12,0.000475059382422803,2083
33,2021GE2,5,2030-04-03 11:57,0.000674308833445718,2030
34,2018TY4,8,2033-10-05 16:21,0.000432152117545376,2033
35,2022YO1,4,2024-12-17 06:20,0.000422119037568594,2024
37,2022AT2,14,2080-01-14 08:33,0.000722021660649819,2080
38,2022SX55,3,2035-09-17 19:56,0.00423728813559322,2035
39,2015YJ,8,2059-12-14 08:15,0.000971817298347911,2042
40,2009BE,21,2083-01-25 02:21,0.000189000189000189,2045
41,2006DM63,16,2031-02-24 05:54,0.0000578001271602798,2031
44,2020CQ1,6,2070-02-03 04:34,0.00446428571428571,2070
45,2010UK,15,2068-10-15 10:39,0.000422119037568594,2068
46,2020MJ,30,2102-06-12 10:45,0.0000574019861087194,2091
47,2021AM6,17,2070-01-05 02:26,0.000310077519379845,2064
49,2022YS6,15,2066-01-03 06:26,0.000266028198989093,2066
50,2007FT3,400,2046-10-03 12:14,0.00218032536901292,2046
51,2017YM1,30,2091-12-16 12:46,0.0000540015120423372,2048
52,2012MF7,15,2046-06-21 21:10,0.00013700506918756,2046
53,2021EJ3,10,2103-03-16 00:40,0.00162074554294976,2078
55,2017SF20,7,2034-09-26 12:41,0.000333000333000333,2034
59,2018DQ,5,2027-02-21 16:52,0.0001230012300123,2027
60,2014ML67,50,2027-07-03 19:46,0.0161020637428872,2027
